瑞祺電通,	6416
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,504763,144.50,146.00,142.50,143.00,X,472,72766726
107/06/04,1725567,143.50,151.50,141.50,151.50,8.50,1262,255948184
107/06/05,1625989,150.00,153.50,148.00,151.50,,1101,245556832
107/06/06,1090400,152.00,153.00,150.00,150.50,1.00,829,165118300
107/06/07,2182060,150.50,165.00,150.50,163.00,12.50,1636,342592280
107/06/08,3942704,167.50,176.00,162.50,163.00,,3016,664709956
107/06/11,1346118,155.00,159.50,151.50,155.50,7.50,1129,207841762
107/06/12,1154145,154.50,161.00,154.50,158.50,3.00,947,181924979
107/06/13,1017995,158.50,160.00,152.50,157.50,1.00,800,159059710
107/06/14,976208,154.00,156.00,151.50,152.00,5.50,748,149228448
107/06/15,669717,151.00,151.50,148.50,148.50,3.50,583,100205050
107/06/19,560948,146.50,146.50,143.00,143.00,5.50,456,81123408
107/06/20,417410,143.50,144.50,138.50,140.50,2.50,372,58832630
107/06/21,468035,141.00,149.00,140.50,145.00,4.50,422,67461680
107/06/22,319952,141.50,142.50,140.50,141.00,4.00,296,45236184
107/06/25,307180,141.00,141.00,137.50,138.00,3.00,284,42569928
107/06/26,436160,135.50,136.50,131.00,132.50,5.50,383,58022600
107/06/27,212700,134.00,138.00,133.50,135.00,2.50,205,28796200
107/06/28,168890,135.00,136.50,132.50,134.00,1.00,167,22734150
107/06/29,219158,136.00,138.50,133.50,137.00,3.00,206,29868120
107/07/02,192020,137.00,138.00,133.00,133.00,4.00,168,25935360
107/07/03,489020,133.00,135.00,126.50,128.00,5.00,395,63551290
107/07/04,350000,126.00,130.50,125.50,129.00,1.00,284,44790500
107/07/05,292930,130.00,130.00,123.00,123.50,5.50,262,36769180
107/07/06,229479,127.50,127.50,123.00,126.00,2.50,212,28581854
107/07/09,154900,127.50,127.50,124.00,124.00,2.00,138,19404000
107/07/10,168005,126.00,126.50,125.00,126.50,2.50,156,21168640
107/07/11,127200,125.50,126.00,122.00,124.00,2.50,111,15781400
107/07/12,424360,123.50,135.00,123.50,133.50,9.50,339,54807600
107/07/13,662020,133.50,136.50,130.00,133.00,0.50,469,88143700
107/07/16,598300,132.50,137.50,131.00,135.00,2.00,430,80427500
107/07/17,418819,133.50,134.50,131.00,131.50,3.50,362,55386427
107/07/18,202600,132.00,133.50,129.50,130.00,1.50,188,26602500
107/07/19,129484,130.50,131.50,129.00,129.00,1.00,121,16821420
107/07/20,1619445,129.00,141.50,129.00,141.50,12.50,1271,223331300
107/07/23,1109235,139.50,139.50,135.00,137.00,4.50,907,152378430
107/07/24,468240,136.00,138.50,135.50,138.50,1.50,361,64342100
107/07/25,218100,136.00,138.50,136.00,137.00,1.50,192,29952800
107/07/26,278420,137.00,138.00,135.50,135.50,1.50,251,37895330
107/07/27,185205,136.50,136.50,135.00,135.50,,172,25124380
107/07/30,201340,137.00,137.00,132.00,132.50,3.00,192,26907720
107/07/31,141700,132.00,135.00,132.00,135.00,2.50,139,18939850
107/08/01,800554,135.50,141.50,133.50,140.00,5.00,656,111317283
107/08/02,747340,139.50,139.50,134.50,136.00,4.00,580,102027908
107/08/03,313300,136.00,137.50,136.00,136.50,0.50,274,42856949
107/08/06,426530,140.00,140.00,137.50,139.00,2.50,385,59241404
107/08/07,229010,139.00,139.00,135.50,135.50,3.50,206,31245380
107/08/08,209375,137.00,137.00,134.50,134.50,1.00,192,28328625
107/08/09,279540,134.50,134.50,131.00,132.00,2.50,241,37003550
107/08/10,285350,130.00,131.00,128.00,129.00,3.00,256,36956200
107/08/13,463700,127.00,129.00,121.00,123.50,5.50,404,57559000
107/08/14,175085,125.00,125.50,122.50,124.00,0.50,160,21719210
107/08/15,778200,124.00,124.00,112.00,114.00,10.00,657,89947600
107/08/16,333365,113.00,114.00,107.50,112.00,2.00,299,37051110
107/08/17,275786,112.50,116.00,111.00,111.00,1.00,254,31248032
107/08/20,202780,113.00,113.00,108.00,108.50,2.50,184,22211020
107/08/21,874700,108.00,116.50,105.50,115.00,6.50,662,95511000
107/08/22,686500,113.00,113.00,108.50,111.00,4.00,609,75795750
107/08/23,215500,110.50,111.00,108.50,109.00,2.00,200,23650500
107/08/24,140630,109.00,110.00,107.00,108.00,1.00,126,15252300
107/08/27,175470,109.00,113.00,109.00,112.00,4.00,168,19486140
107/08/28,138535,111.50,112.00,110.00,110.00,2.00,124,15350116
107/08/29,112251,110.00,112.00,109.50,109.50,0.50,105,12385110
107/08/30,131200,109.50,111.50,109.00,109.00,0.50,119,14410400
107/08/31,160000,108.50,110.00,108.00,109.50,0.50,144,17414000
107/09/03,186000,109.50,109.50,105.50,105.50,4.00,173,19870500
107/09/04,205540,106.00,107.00,104.00,104.50,1.00,205,21562200
107/09/05,99200,104.50,105.50,104.00,104.50,,90,10381500
107/09/06,352415,104.00,104.00,100.00,100.50,4.00,320,35588330
107/09/07,956430,100.00,100.50,90.50,91.80,8.70,843,90150420
107/09/10,465130,91.80,91.80,85.80,86.20,5.60,365,40837340
107/09/11,304000,87.50,91.40,87.20,90.90,4.70,275,27385100
107/09/12,163200,90.90,90.90,88.20,88.80,2.10,148,14535000
107/09/13,138200,88.80,91.00,88.80,90.00,1.20,122,12469200
107/09/14,219400,91.50,94.00,90.20,93.90,3.90,205,20231800
107/09/17,193400,93.10,93.50,91.20,91.70,2.20,174,17774300
107/09/18,122112,91.30,91.40,89.80,90.00,1.70,111,11039192
107/09/19,103110,91.00,92.40,90.80,90.90,0.90,96,9421630
107/09/20,165603,91.00,91.00,89.00,89.50,1.40,141,14842448
107/09/21,161000,90.00,91.40,89.10,90.40,0.90,150,14569600
107/09/25,134601,91.30,93.80,90.70,92.80,2.40,129,12426392
107/09/26,194150,93.00,95.70,92.80,94.10,1.30,186,18312570
107/09/27,95000,94.10,95.00,94.10,94.30,0.20,86,8979400
107/09/28,166350,94.90,96.40,94.90,95.00,0.70,153,15888950
107/10/01,159495,93.50,95.00,93.50,94.00,1.00,142,15003130
107/10/02,117010,93.80,95.00,93.80,94.40,0.40,100,11035150
107/10/03,153172,94.40,96.20,92.50,92.70,1.70,126,14376768
107/10/04,95125,92.90,93.20,91.00,91.50,1.20,90,8728736
107/10/05,200000,90.10,91.50,87.20,89.00,2.50,164,17831000
107/10/08,165300,89.00,93.00,89.00,91.60,2.60,147,15047880
107/10/09,178100,91.60,92.80,89.60,91.40,0.20,158,16186249
107/10/11,617529,87.00,88.00,82.30,84.70,6.70,420,51991994
107/10/12,326400,81.50,86.50,81.20,86.50,1.80,285,27092899
107/10/15,154000,84.60,85.50,83.20,85.50,1.00,123,13028300
107/10/16,125281,84.80,85.90,84.10,84.10,1.40,112,10638986
107/10/17,86000,84.90,86.70,84.00,84.20,0.10,80,7317500
107/10/18,65120,84.20,85.00,83.60,84.20,,60,5489520
107/10/19,123200,83.00,83.00,81.50,81.50,2.70,119,10120418
107/10/22,167400,79.10,81.40,79.00,80.70,0.80,161,13412579
107/10/23,306526,79.80,83.00,75.00,83.00,2.30,250,24112235
107/10/24,227521,81.90,81.90,77.70,78.80,4.20,176,17908319
107/10/25,323401,75.00,76.30,74.00,75.90,2.90,222,24354994
107/10/26,216104,76.20,77.30,72.90,73.60,2.30,178,16117326
107/10/29,252050,73.60,74.00,71.20,71.50,2.10,129,18299010
107/10/30,241244,71.50,72.00,69.80,69.90,1.60,159,16968724
107/10/31,250420,70.90,73.40,70.90,71.90,2.00,213,18071060
107/11/01,480525,74.10,78.10,73.40,76.30,4.40,402,36521301
107/11/02,442100,76.30,80.20,76.30,77.50,1.20,399,34489950
107/11/08,773680,79.20,85.20,79.10,80.90,3.30,718,63950812
107/11/09,296436,81.20,82.20,79.30,81.60,0.70,271,23957334
107/11/12,147242,80.00,81.80,80.00,80.10,1.50,135,11871882
107/11/16,148000,79.80,80.70,78.50,79.60,1.40,139,11796100
107/11/19,69000,81.30,81.30,80.20,80.80,1.20,64,5565800
107/11/20,81050,80.70,80.70,79.30,79.90,0.90,78,6487675
107/11/21,407000,79.80,83.00,79.80,81.30,1.40,373,33235000
107/11/22,817293,82.80,85.50,82.00,83.70,2.40,694,68677938
107/11/23,290053,83.00,84.90,81.00,81.30,2.40,247,23920346
107/11/26,238000,82.40,83.60,80.50,82.50,1.20,178,19456900
107/11/27,145360,82.50,84.30,81.90,83.60,1.10,140,12090396
107/11/28,830200,84.00,89.80,83.90,87.10,3.50,682,72535300
107/11/29,412000,88.90,88.90,86.50,86.90,0.20,346,36228000
107/11/30,375070,88.00,89.00,86.90,88.50,1.60,249,33066644
107/12/03,728202,90.50,94.80,90.00,92.80,4.30,554,67536845
107/12/04,413200,93.00,93.90,91.70,92.80,,309,38315319
107/12/05,379204,91.60,91.60,89.10,89.60,3.20,272,34264060
107/12/06,520030,89.20,89.90,83.20,83.50,6.10,453,44335241
107/12/07,182175,85.10,86.00,84.60,85.50,2.00,164,15553825
107/12/10,133000,85.50,85.50,83.00,83.30,2.20,124,11145300
107/12/11,179000,83.80,85.60,83.80,85.60,2.30,176,15220100
107/12/12,1165451,87.40,94.10,87.40,94.10,8.50,970,107672739
107/12/13,2533427,95.00,103.00,95.00,98.70,4.60,2135,251513584
107/12/14,2488920,100.50,105.50,100.00,102.00,3.30,2103,256432840
107/12/17,1046643,104.00,104.50,100.00,100.00,2.00,886,106717619
107/12/18,1177948,99.80,102.50,99.10,100.00,,915,118239300
107/12/19,1366500,101.50,102.50,95.40,97.10,2.90,1116,134310800
107/12/20,976200,99.00,99.30,93.10,93.60,3.50,842,94475000
107/12/21,583440,93.60,95.20,91.80,95.20,1.60,481,54791307
107/12/22,143260,94.30,94.90,93.80,93.80,1.40,125,13471700
107/12/24,733200,94.00,99.70,94.00,98.50,4.70,671,71451760
107/12/25,568655,97.40,97.40,92.10,93.60,4.90,508,53951265
107/12/26,282812,94.50,95.60,92.20,92.20,1.40,266,26504666
107/12/27,247246,94.40,95.40,93.20,93.30,1.10,228,23264924
107/12/28,370064,93.50,94.00,90.20,90.50,2.80,337,33935388
108/01/02,333003,91.30,91.70,90.20,90.60,0.10,270,30226480
108/01/03,237041,90.60,92.80,90.50,90.60,,212,21636075
108/01/04,358000,90.00,90.00,86.10,88.20,2.40,334,31303100
108/01/07,234140,91.00,91.00,88.80,89.20,1.00,221,21019456
108/01/08,338000,90.00,90.00,87.10,87.50,1.70,306,29706700
108/01/09,628203,88.10,91.80,88.00,91.00,3.50,555,56603276
108/01/10,684195,94.00,94.50,90.50,90.50,0.50,607,63288300
108/01/11,228050,92.00,92.00,89.20,89.20,1.30,193,20507850
108/01/14,198445,89.20,89.50,87.60,87.60,1.60,192,17499878
108/01/15,201132,88.00,89.60,87.80,88.50,0.90,183,17855895
108/01/16,367200,88.50,91.90,88.50,90.50,2.00,324,33188919
108/01/17,259050,91.50,92.00,88.50,88.50,2.00,233,23365724
108/01/18,109150,88.70,89.30,88.20,88.90,0.40,102,9714700
108/01/21,464597,89.50,92.20,89.20,91.40,2.50,404,42271364
108/01/22,358200,91.90,92.80,90.00,90.00,1.40,313,32591980
108/01/23,186003,90.30,90.30,89.20,89.50,0.50,166,16684894
108/01/28,648730,90.30,93.10,90.30,92.00,2.50,566,59788560
108/01/29,232100,91.30,91.80,90.70,91.60,0.40,211,21157559
108/01/30,296100,91.80,92.90,91.80,91.80,0.20,253,27294970
108/02/11,305362,92.90,93.00,91.90,92.50,0.70,269,28239885
108/02/12,705100,92.70,95.10,92.70,94.40,1.90,569,66327850
108/02/13,393150,95.00,96.00,93.70,93.70,0.70,328,37168390
108/02/14,317000,93.70,95.30,93.00,93.50,0.20,285,29774900
108/02/15,526000,93.30,93.70,90.40,91.10,2.40,461,48082700
108/02/18,641000,90.10,90.10,87.20,89.10,2.00,544,56949400
108/02/19,178327,89.10,89.60,88.70,88.90,0.20,168,15895411
108/02/20,322450,89.00,90.20,88.50,88.90,,299,28797250
108/02/21,266600,88.90,90.60,88.80,90.60,1.70,213,23974379
108/02/22,368399,90.20,92.20,89.10,91.30,0.70,325,33527726
108/02/25,1814208,92.50,98.20,91.70,96.70,5.40,1524,172903753
108/02/26,1925115,100.00,101.50,97.60,97.70,1.00,1529,190983311
108/02/27,2103150,99.60,101.50,97.70,100.00,2.30,1517,210600000
108/03/04,2521300,102.00,105.50,100.00,102.00,2.00,1910,259755100
108/03/05,1506500,101.00,104.50,100.00,101.00,1.00,1115,154282000
108/03/06,860241,101.00,102.00,98.20,98.30,2.70,727,85679537
108/03/07,411160,98.30,99.40,96.60,96.80,1.50,363,40101620
108/03/08,563145,95.90,100.50,95.50,100.00,3.20,474,55338971
108/03/11,495100,100.00,102.00,99.20,99.50,0.50,380,49810880
108/03/12,287100,100.50,101.00,98.40,98.60,0.90,262,28540359
108/03/13,348072,98.60,99.80,97.00,99.00,0.40,326,34304777
108/03/14,416150,100.50,100.50,98.60,98.90,0.10,369,41356634
108/03/15,378172,98.30,99.70,97.20,97.20,1.70,345,37073707
108/03/18,261540,98.00,99.40,97.40,98.20,1.00,213,25729628
108/03/19,135040,99.20,99.20,98.00,98.00,0.20,124,13302220
108/03/20,187050,98.00,98.20,97.10,97.90,0.10,165,18270125
108/03/21,531300,97.50,101.50,97.50,99.60,1.70,495,53075500
108/03/22,396000,100.00,100.50,97.80,98.00,1.60,332,39040300
108/03/25,573106,96.80,96.80,94.50,94.50,3.50,450,54739458
108/03/26,233100,95.10,96.20,94.20,94.20,0.30,215,22133010
108/03/27,251005,94.20,94.60,93.40,93.70,0.50,218,23557280
108/03/28,260260,94.00,94.00,92.30,92.30,1.40,239,24155462
108/03/29,385200,93.40,96.20,92.60,96.00,3.70,339,36507220
108/04/01,355200,96.10,97.90,95.50,95.60,0.40,320,34334900
108/04/02,220000,96.90,96.90,94.50,94.90,0.70,195,21017900
108/04/03,110500,95.80,96.20,94.50,95.00,0.10,107,10527050
108/04/08,148300,95.00,96.50,95.00,95.10,0.10,147,14136660
108/04/09,162474,95.90,95.90,94.80,95.00,0.10,150,15471024
108/04/10,359200,95.00,95.70,92.80,93.20,1.80,291,33584139
108/04/11,293146,93.00,93.90,91.70,91.80,1.40,257,27149302
108/04/12,327164,91.40,92.00,90.10,90.40,1.40,295,29703741
108/04/15,253350,91.00,91.70,90.10,90.30,0.10,228,22972975
108/04/16,291373,90.20,92.10,90.20,92.10,1.80,259,26544229
108/04/17,312455,93.00,93.90,91.90,92.80,0.70,295,28950424
108/04/18,374347,93.50,93.90,90.50,90.70,2.10,336,34594567
108/04/19,235057,91.10,91.70,90.10,90.90,0.20,223,21301145
108/04/22,207185,91.60,91.60,90.30,90.40,0.50,167,18797416
108/04/23,184100,90.40,90.40,89.00,89.90,0.50,150,16502300
108/04/24,277100,90.20,92.50,89.70,91.30,1.40,253,25273260
108/04/25,128200,91.10,91.20,90.30,90.30,1.00,128,11620259
108/04/26,122052,90.80,90.80,89.50,89.50,0.80,114,10950084
108/04/29,122050,89.30,91.00,88.30,88.30,1.20,116,10839925
108/04/30,122180,88.50,89.40,87.80,88.50,0.20,95,10780300
108/05/02,108199,88.60,89.70,88.50,89.00,0.50,96,9620411
108/05/03,146220,89.70,91.40,89.70,90.50,1.50,128,13241510
108/05/06,99627,90.00,90.00,88.10,88.30,2.20,96,8829725
108/05/07,81000,88.60,89.50,88.20,88.20,0.10,64,7176400
108/05/08,356240,87.50,87.90,85.20,85.40,2.80,295,30730780
108/05/09,383300,85.40,85.70,81.90,82.00,3.40,323,31909249
108/05/10,230100,81.20,83.00,80.00,80.70,1.30,196,18726200
