科定,	6655
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/11/28,1195500,60.50,61.50,57.20,60.10,X,784,71531350
107/11/29,374650,60.20,61.30,60.20,60.20,0.10,288,22700129
107/11/30,275500,60.50,60.60,60.00,60.40,0.20,179,16615900
107/12/03,256440,60.50,60.50,58.10,58.90,1.50,168,15146816
107/12/04,86050,58.90,59.40,58.60,58.70,0.20,65,5066535
107/12/05,154133,58.40,58.40,57.70,57.80,0.90,95,8925047
107/12/06,286218,58.20,60.80,57.80,60.20,2.40,198,17062571
107/12/07,140001,58.60,59.20,58.10,58.80,1.40,107,8202058
107/12/10,100300,59.00,59.00,56.20,57.60,1.20,80,5760579
107/12/11,42000,57.00,58.00,57.00,57.10,0.50,39,2411200
107/12/12,21079,58.30,58.30,57.20,57.70,0.60,21,1213958
107/12/13,31000,58.40,58.40,58.00,58.00,0.30,23,1801700
107/12/14,4000,57.90,58.00,57.20,57.20,0.80,4,230900
107/12/17,63000,57.30,57.30,56.50,57.20,,46,3588300
107/12/18,60000,56.50,57.30,56.50,57.30,0.10,26,3430600
107/12/19,29000,57.30,57.30,57.00,57.00,0.30,15,1659900
107/12/20,58000,56.50,56.50,55.60,56.00,1.00,50,3257600
107/12/21,36010,56.00,56.00,55.00,55.80,0.20,27,1987458
107/12/22,6000,57.00,57.00,55.70,55.70,0.10,5,340700
107/12/24,98108,55.10,55.10,53.00,53.20,2.50,69,5252555
107/12/25,142000,52.00,52.00,50.20,51.00,2.20,88,7237000
107/12/26,42000,52.70,52.70,51.00,51.00,,19,2146400
107/12/27,41000,52.20,52.20,50.50,50.50,0.50,27,2097100
107/12/28,59000,50.50,51.00,50.00,50.00,0.50,49,2985900
108/01/02,94310,50.00,50.00,47.85,47.85,2.15,74,4549600
108/01/03,53000,47.85,50.00,47.85,48.45,0.60,47,2580600
108/01/04,41000,48.45,48.45,48.05,48.20,0.25,23,1975300
108/01/07,43000,48.20,49.00,48.20,48.50,0.30,34,2078050
108/01/08,85000,47.70,49.50,46.90,49.50,1.00,56,4122450
108/01/09,28000,49.50,49.90,49.30,49.50,,20,1386100
108/01/10,16000,49.50,49.90,49.05,49.05,0.45,16,789700
108/01/11,17010,49.10,49.10,49.05,49.10,0.05,12,835135
108/01/14,46009,49.10,49.30,49.00,49.10,,19,2261192
108/01/15,50000,49.10,49.10,48.90,49.00,0.10,23,2449900
108/01/16,32000,49.00,49.10,49.00,49.00,,19,1568400
108/01/17,139266,49.00,53.90,49.00,53.80,4.80,107,7226924
108/01/18,72030,53.80,54.20,51.50,51.50,2.30,55,3758039
108/01/21,31100,51.90,53.90,51.90,53.50,2.00,30,1640650
108/01/22,55033,53.20,54.30,52.10,54.20,0.70,45,2959762
108/01/23,50200,55.40,55.40,53.80,54.50,0.30,37,2748560
108/01/28,24000,55.20,55.40,54.60,55.00,,19,1320900
108/01/29,59000,55.00,57.00,54.80,55.00,,44,3266700
108/01/30,28000,55.00,55.80,55.00,55.60,0.60,23,1550100
108/02/11,15000,54.00,55.70,54.00,55.70,0.10,14,831000
108/02/12,13000,55.00,55.00,54.10,54.10,1.60,13,712600
108/02/13,10000,54.10,54.20,54.00,54.10,,10,541000
108/02/14,6400,54.00,54.00,53.30,53.30,0.80,8,342080
108/02/15,63010,51.30,52.20,51.00,51.00,2.30,49,3248715
108/02/18,32000,50.80,50.80,50.00,50.40,0.60,24,1611600
108/02/19,13200,50.40,51.00,50.40,51.00,0.60,13,670460
108/02/20,28340,51.00,51.50,50.80,51.20,0.20,24,1447840
108/02/21,19200,51.20,51.20,50.70,50.70,0.50,18,977500
108/02/22,15092,51.00,51.00,50.20,50.20,0.50,15,762500
108/02/25,21030,50.30,51.00,50.20,51.00,0.80,19,1057524
108/02/26,8148,51.00,51.00,50.30,50.30,0.70,9,412518
108/02/27,28000,50.20,50.30,49.75,50.30,,20,1399550
108/03/04,18000,50.00,50.00,49.10,49.60,0.70,17,891600
108/03/05,52000,45.50,50.00,45.50,48.80,0.80,35,2424900
108/03/06,59000,48.80,48.80,47.30,48.00,0.80,32,2829500
108/03/07,38150,48.00,48.30,47.70,48.30,0.30,25,1834265
108/03/08,52150,48.70,51.00,48.70,49.95,1.65,42,2599780
108/03/11,10200,50.00,50.00,49.20,49.20,0.75,9,506800
108/03/12,16000,49.50,49.80,49.50,49.80,0.60,15,795500
108/03/13,34080,49.80,50.50,49.80,50.30,0.50,27,1714800
108/03/14,113646,50.30,52.50,50.30,52.40,2.10,71,5867169
108/03/15,37000,52.00,53.30,52.00,52.00,0.40,37,1945900
108/03/18,22149,51.90,52.00,51.50,51.60,0.40,19,1147558
108/03/19,55000,51.00,51.60,51.00,51.10,0.50,24,2829700
108/03/20,31000,51.20,51.50,50.50,51.50,0.40,23,1574500
108/03/21,6000,51.20,51.20,50.80,50.80,0.70,6,306300
108/03/22,19000,51.00,51.00,50.30,51.00,0.20,17,962900
108/03/25,11200,51.00,51.00,50.50,50.50,0.50,11,569160
108/03/26,18000,50.50,51.10,50.40,50.90,0.40,13,911400
108/03/27,5197,50.50,50.50,50.40,50.40,0.50,6,262089
108/03/28,11000,50.40,50.50,50.40,50.50,0.10,5,554800
108/03/29,18050,50.60,51.20,50.60,51.20,0.70,13,918860
108/04/01,5090,51.30,51.50,51.30,51.40,0.20,5,261462
108/04/02,143267,51.50,55.90,51.50,55.00,3.60,104,7829378
108/04/03,44000,55.00,55.00,53.80,55.00,,29,2391200
108/04/08,30477,54.90,55.50,54.90,55.00,,24,1677682
108/04/09,20248,55.00,55.00,54.50,54.80,0.20,16,1109340
108/04/10,15000,54.80,54.90,54.50,54.90,0.10,9,818900
108/04/11,158288,54.90,57.30,54.90,56.70,1.80,103,8897958
108/04/12,41238,56.80,56.80,55.00,55.00,1.70,34,2291890
108/04/15,84002,55.10,57.90,55.10,55.20,0.20,63,4773316
108/04/16,7000,56.30,56.30,55.30,55.30,0.10,7,388200
108/04/17,45000,55.50,56.40,55.40,55.40,0.10,29,2504100
108/04/18,33000,55.80,56.00,55.30,55.30,0.10,25,1838700
108/04/19,30000,56.00,56.20,55.50,56.20,0.90,24,1677600
108/04/22,13000,55.60,55.70,55.60,55.70,0.50,7,723400
