旭暉應材,	6698
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/11/25,2317984,72.00,75.10,70.20,73.00,X,1627,169397732
108/11/26,1767400,73.00,76.50,73.00,74.00,1.00,1233,131994118
108/11/27,705250,73.90,74.00,72.10,74.00,,554,51604350
108/11/28,335507,74.00,74.00,72.80,73.10,0.90,272,24590718
108/11/29,404000,72.90,72.90,71.20,71.30,1.80,324,29024900
108/12/02,497050,73.00,73.00,69.60,69.70,1.60,356,35012350
108/12/03,1141614,69.70,76.60,69.60,76.60,6.90,737,85722332
108/12/04,2179926,77.00,81.00,74.60,80.90,4.30,1494,168313604
108/12/05,2430360,79.00,83.50,78.80,82.50,1.60,1587,197410280
108/12/06,1851288,81.90,82.70,80.70,82.50,,1045,150894428
108/12/09,1176267,83.00,83.00,81.00,81.00,1.50,835,96440752
108/12/10,1531550,81.50,85.80,80.20,83.90,2.90,1169,126860624
108/12/11,1867033,84.50,90.40,84.50,89.70,5.80,1437,165736559
108/12/12,1530861,90.80,94.10,88.20,90.10,0.40,1197,139543419
108/12/13,1231410,91.20,92.80,89.10,89.10,1.00,927,111539528
108/12/16,885844,89.90,92.00,89.20,92.00,2.90,687,80484648
108/12/17,852580,93.30,95.00,91.00,91.30,0.70,658,78705100
108/12/18,475800,91.00,92.00,90.10,90.50,0.80,389,43247398
108/12/19,642313,91.00,91.60,89.00,89.00,1.50,444,57821250
108/12/20,1429490,90.40,93.50,89.00,93.00,4.00,1095,131717670
108/12/23,2407822,94.10,100.00,94.10,97.50,4.50,1759,234397656
108/12/24,1377105,97.50,100.00,96.70,99.00,1.50,971,135613195
108/12/25,1367633,100.00,101.00,98.20,98.80,0.20,1085,136191735
108/12/26,1292096,99.70,101.50,97.40,97.70,1.10,959,128062817
108/12/27,1767351,97.70,98.20,93.50,93.80,3.90,1434,167877219
108/12/30,1338200,91.50,93.90,90.40,90.60,3.20,1044,122324000
108/12/31,581550,90.50,92.40,90.50,91.30,0.70,460,53223434
109/01/02,1022216,91.50,91.90,87.90,91.90,0.60,831,92056101
109/01/03,757400,92.00,93.80,89.10,89.50,2.40,629,68912800
109/01/06,936200,88.60,89.10,85.00,85.40,4.10,727,81105377
109/01/07,730720,85.60,88.00,84.30,87.20,1.80,521,62923484
109/01/08,418100,85.60,86.50,84.20,84.60,2.60,373,35586820
109/01/09,317200,85.90,86.50,84.60,84.70,0.10,254,27075400
109/01/10,885501,80.20,82.20,78.30,80.60,4.10,695,71051976
109/01/13,323233,81.50,81.90,80.00,81.00,0.40,245,26132019
109/01/14,406190,81.00,82.00,80.10,81.80,0.80,344,32880275
109/01/15,342337,82.10,83.10,80.10,80.10,1.70,271,27759164
109/01/16,430380,80.10,80.20,78.60,78.60,1.50,381,34074662
109/01/17,855580,78.10,78.60,75.10,76.80,1.80,655,65547432
109/01/20,661622,76.70,81.70,74.90,80.00,3.20,518,51053445
109/01/30,723784,72.00,73.20,72.00,72.00,8.00,474,52178548
109/01/31,619551,71.90,73.00,67.50,68.50,3.50,491,43055919
109/02/03,923660,61.70,63.50,61.70,61.80,6.70,574,57314750
109/02/04,849210,61.80,63.90,61.30,62.30,0.50,666,52860238
109/02/05,776549,63.20,68.50,62.00,68.50,6.20,588,51206406
109/02/06,1367240,72.00,75.30,70.50,75.30,6.80,909,100126072
109/02/07,687382,73.70,75.50,71.00,72.40,2.90,596,50182852
109/02/10,460999,66.10,70.10,66.10,68.10,4.30,381,31386731
109/02/11,343302,68.60,71.80,68.60,71.00,2.90,278,24255302
109/02/12,245050,71.10,73.00,71.10,72.10,1.10,219,17715124
109/02/13,267565,71.70,72.80,70.00,70.00,2.10,235,19028961
109/02/14,156700,70.10,71.70,69.90,70.60,0.60,127,11100440
109/02/17,509065,71.50,73.90,70.10,73.60,3.00,410,36993976
109/02/18,325150,73.40,75.40,72.80,73.00,0.60,267,23901110
109/02/19,268100,74.00,74.40,72.70,72.90,0.10,218,19678470
109/02/20,158100,73.00,73.00,72.10,72.10,0.80,136,11458890
109/02/21,192150,71.60,71.60,70.60,71.00,1.10,153,13652775
109/02/24,175650,70.40,70.50,68.50,69.10,1.90,141,12224080
109/02/25,108000,66.20,69.80,66.20,69.10,,84,7405300
109/02/26,167300,68.00,69.80,68.00,68.80,0.30,111,11557340
109/02/27,381516,69.00,69.00,65.10,65.30,3.50,286,25350510
109/03/02,258000,65.10,66.90,63.80,65.90,0.60,202,16762400
109/03/03,181000,67.40,68.80,66.60,66.80,0.90,151,12272800
109/03/04,320100,66.90,66.90,64.50,64.80,2.00,237,20883160
109/03/05,198000,66.20,66.20,64.50,64.90,0.10,165,12893100
109/03/06,164450,65.00,65.00,63.20,63.90,1.00,152,10493190
109/03/09,234250,63.80,63.80,61.40,61.40,2.50,204,14550950
109/03/10,329150,60.20,65.10,59.50,64.90,3.50,262,20517730
109/03/11,154300,65.30,65.50,63.00,63.00,1.90,138,9866760
109/03/12,371350,61.00,61.00,56.70,57.90,5.10,278,21882839
109/03/13,674374,52.30,53.90,52.20,53.40,4.50,434,35253722
109/03/16,311500,53.40,55.60,48.40,48.60,4.80,233,15872949
109/03/17,405010,44.05,47.00,43.90,44.20,4.40,285,18026370
109/03/18,567465,44.90,44.90,39.80,40.10,4.10,435,23692989
109/03/19,344150,38.00,38.00,36.10,36.10,4.00,284,12537414
109/03/20,621000,36.60,38.80,36.60,38.00,1.90,436,23403649
109/03/23,121125,34.30,37.05,34.30,36.95,1.05,113,4351618
109/03/24,189300,36.65,40.00,36.65,39.40,2.45,156,7398970
109/03/25,236050,41.50,43.25,41.50,42.90,3.50,191,10060145
109/03/26,155100,43.50,43.60,41.50,42.30,0.60,122,6588120
109/03/27,257030,42.30,43.25,41.00,41.55,0.75,194,10912758
109/03/30,135300,38.00,39.90,38.00,39.90,1.65,103,5333276
109/03/31,93000,40.00,41.65,40.00,40.30,0.40,79,3773200
109/04/01,66825,40.35,40.95,40.35,40.60,0.30,59,2709745
109/04/06,63000,40.80,40.90,40.00,40.55,0.05,55,2549150
109/04/07,209000,41.55,44.60,41.30,44.60,4.05,142,9014450
109/04/08,407220,45.80,49.05,45.60,49.05,4.45,282,19452991
109/04/09,936429,51.50,53.90,50.50,52.50,3.45,714,49121922
109/04/10,487259,51.00,51.00,48.60,50.00,2.50,378,24258676
109/04/13,311020,49.90,49.90,47.20,47.85,2.15,236,14964216
109/04/14,259300,48.50,51.30,48.00,49.80,1.95,212,12795060
109/04/15,257279,49.80,50.00,48.70,49.40,0.40,194,12711050
109/04/16,137000,49.40,49.40,48.00,48.90,0.50,113,6653150
109/04/17,359235,50.00,51.70,49.40,49.50,0.60,296,18117200
109/04/20,183100,49.50,50.20,48.20,49.80,0.30,142,9023950
109/04/21,220000,49.20,49.20,47.00,47.30,2.50,195,10551350
109/04/22,151000,46.50,48.45,45.85,48.00,0.70,128,7077200
109/04/23,144000,48.25,48.80,46.55,47.70,0.30,109,6832150
109/04/24,119500,47.95,47.95,46.70,47.00,0.70,104,5604650
109/04/27,229025,47.00,49.20,47.00,48.40,1.40,199,11068800
109/04/28,194000,48.40,49.20,48.00,48.70,0.30,165,9391800
109/04/29,404575,50.20,53.50,49.55,53.50,4.80,303,21166262
109/04/30,1291917,55.50,58.70,55.40,58.00,4.50,946,73717789
109/05/04,386066,55.10,58.50,54.30,57.50,0.50,314,21639033
109/05/05,289000,59.90,59.90,56.10,57.00,0.50,256,16592100
109/05/06,215006,57.00,57.20,56.00,56.20,0.80,180,12124176
109/05/07,239284,55.90,57.90,55.90,57.20,1.00,185,13684214
109/05/08,281100,57.10,57.20,55.50,55.90,1.30,212,15806660
109/05/11,341070,55.00,56.00,54.30,55.50,0.40,254,18697185
109/05/12,307020,55.50,57.90,55.50,56.60,1.10,229,17446254
109/05/13,130000,55.00,56.50,55.00,56.00,0.60,96,7232000
109/05/14,230033,55.60,55.60,53.50,53.50,2.50,198,12539455
109/05/15,149501,54.30,54.50,52.40,52.80,0.70,130,7942904
109/05/18,136001,52.80,52.80,51.10,51.40,1.40,97,7047152
109/05/19,114055,52.50,53.00,51.10,51.90,0.50,89,5881787
109/05/20,71000,51.40,52.50,51.40,52.50,0.60,58,3689400
109/05/21,115065,53.50,53.50,52.00,52.80,0.30,100,6063677
109/05/22,221200,52.40,52.50,50.30,51.00,1.80,159,11347340
109/05/25,96000,50.10,52.80,50.10,52.50,1.50,74,4954600
109/05/26,81025,52.50,53.20,52.50,52.80,0.30,68,4276827
109/05/27,42000,52.80,52.90,52.00,52.00,0.80,41,2201000
109/05/28,66000,52.00,52.50,51.20,51.20,0.80,54,3419400
109/05/29,152000,51.00,54.30,51.00,53.00,1.80,131,8086300
109/06/01,1321171,55.10,58.30,54.00,55.20,2.20,883,75014958
109/06/02,337000,55.00,55.20,53.10,53.40,1.80,246,18193000
109/06/03,132050,53.90,54.20,53.50,53.70,0.30,107,7092325
109/06/04,103040,54.10,54.30,53.00,53.10,0.60,93,5506572
109/06/05,121000,53.10,53.50,52.80,53.00,0.10,91,6422300
109/06/08,237065,53.10,55.50,53.00,54.70,1.70,175,12911494
109/06/09,149018,55.20,56.00,54.10,54.10,0.60,117,8168295
109/06/10,285100,54.10,56.00,54.00,54.80,0.70,218,15693240
109/06/11,528000,51.10,53.30,51.10,52.50,2.30,379,27537800
109/06/12,221102,51.50,51.90,49.40,51.90,0.60,176,11183205
109/06/15,208007,51.90,51.90,50.30,50.50,1.40,155,10559388
109/06/16,153030,50.50,51.40,50.40,50.60,0.10,119,7752745
109/06/17,144000,50.60,50.70,50.20,50.20,0.40,97,7270100
109/06/18,166060,50.20,50.90,49.80,50.60,0.40,121,8338610
109/06/19,111000,50.60,51.60,50.60,50.80,0.20,78,5645900
109/06/22,1004469,51.10,55.80,51.10,51.70,0.90,686,54081553
109/06/23,156198,52.20,52.30,51.10,51.40,0.30,129,8064616
109/06/24,154000,52.00,52.40,50.60,50.70,0.70,126,7856400
109/06/29,103000,50.70,51.80,50.20,50.60,0.10,71,5210800
109/06/30,84000,50.90,51.40,50.40,50.60,,63,4252600
109/07/01,433000,51.30,51.30,49.90,50.20,0.40,357,21808200
109/07/02,370000,49.90,49.90,48.20,49.00,X,297,18047350
109/07/03,296100,49.05,50.70,49.00,50.30,1.30,211,14813045
109/07/06,184200,50.40,50.70,50.20,50.60,0.30,147,9291920
109/07/07,196065,51.00,51.00,49.25,49.75,0.85,133,9803540
109/07/08,902100,49.70,54.70,49.50,51.50,1.75,622,47343400
109/07/09,279000,51.60,53.30,51.30,51.30,0.20,201,14558600
109/07/10,256010,51.30,52.50,50.00,50.20,1.10,196,13052703
109/07/13,102000,51.50,51.50,49.90,49.95,0.25,90,5125450
109/07/14,87100,50.00,50.60,49.80,49.80,0.15,65,4363130
109/07/15,98259,50.10,50.10,49.30,49.30,0.50,88,4874081
109/07/16,1084120,51.70,54.10,50.60,51.30,2.00,730,57100844
109/07/17,408250,51.60,51.60,49.55,49.65,1.65,337,20449500
109/07/20,774000,51.70,52.30,49.80,50.70,1.05,656,39366850
109/07/21,2280845,51.70,55.40,51.10,54.20,3.50,1407,122800095
109/07/22,1955359,53.60,59.00,52.60,58.20,4.00,1409,110002591
109/07/23,2441591,58.50,63.00,58.50,60.80,2.60,1854,148455328
109/07/24,2722612,60.00,60.10,54.80,54.80,6.00,1956,155126019
109/07/27,894004,56.20,56.30,51.80,52.70,2.10,679,48194526
109/07/28,1126550,52.30,52.70,48.90,49.50,3.20,848,56371328
109/07/29,453234,49.50,50.60,49.05,49.40,0.10,413,22463333
109/07/30,305050,50.00,50.30,49.05,49.40,,238,15135320
109/07/31,370201,49.90,49.90,49.00,49.20,0.20,309,18217488
109/08/03,228300,49.40,49.40,48.80,48.80,0.40,192,11173300
109/08/04,140050,49.90,49.90,48.90,49.20,0.40,110,6907165
109/08/05,276239,49.50,50.30,48.80,48.90,0.30,227,13610930
109/08/06,288900,49.00,49.20,48.20,48.30,0.60,217,14001100
109/08/07,151100,48.35,49.10,48.15,48.70,0.40,116,7353050
109/08/10,134250,48.70,49.20,48.40,48.40,0.30,105,6552800
109/08/11,348099,48.10,48.20,46.00,46.20,2.20,275,16315571
109/08/12,243250,46.15,46.80,44.50,45.45,0.75,166,11097600
109/08/13,112300,45.45,46.20,45.00,45.80,0.35,90,5131090
109/08/14,80000,45.40,45.80,45.00,45.60,0.20,74,3638150
109/08/17,135010,45.65,46.55,45.40,45.70,0.10,116,6173302
109/08/18,150100,46.75,46.75,45.00,45.35,0.35,99,6826980
109/08/19,146843,45.50,45.55,44.50,44.60,0.75,120,6596994
109/08/20,299650,43.30,44.00,40.90,41.10,3.50,241,12551504
109/08/21,136056,42.00,43.50,41.55,43.00,1.90,113,5782736
109/08/24,74000,43.05,43.70,42.50,42.70,0.30,58,3184000
109/08/25,121200,42.85,44.60,42.80,43.05,0.35,104,5278290
109/08/26,182210,43.05,43.30,42.65,43.10,0.05,111,7842051
109/08/27,134244,43.40,43.40,42.25,42.35,0.75,114,5717070
109/08/28,121346,42.05,42.10,41.80,41.85,0.50,89,5091529
109/08/31,120000,41.90,42.50,41.50,41.55,0.30,87,5026950
109/09/01,121036,41.35,42.80,41.10,42.70,1.15,100,5082784
109/09/02,153000,43.20,45.65,43.00,43.80,1.10,141,6767750
109/09/03,90000,43.80,44.80,43.80,43.85,0.05,80,3976200
109/09/04,73000,42.80,43.50,42.10,43.00,0.85,59,3145500
109/09/07,62051,42.70,44.35,42.70,43.20,0.20,55,2690793
109/09/08,35050,43.20,43.85,43.00,43.15,0.05,28,1518000
109/09/09,46000,42.35,43.00,41.85,42.55,0.60,40,1949800
109/09/10,48000,43.10,43.10,42.00,42.10,0.45,46,2046500
109/09/11,57136,41.75,42.60,41.75,41.80,0.30,54,2399462
109/09/14,59029,41.40,42.80,41.40,41.90,0.10,47,2481930
109/09/15,135667,42.00,42.40,41.80,42.35,0.45,93,5720514
109/09/16,135295,42.35,43.80,42.35,43.15,0.80,110,5843140
109/09/17,57125,42.80,43.20,42.50,42.60,0.55,48,2447025
109/09/18,76450,42.50,42.60,42.05,42.05,0.55,64,3229594
109/09/21,66078,42.10,42.30,41.45,41.45,0.60,61,2764740
109/09/22,65000,41.45,41.60,41.00,41.25,0.20,61,2681500
109/09/23,73036,41.25,41.25,40.80,40.90,0.35,62,2991324
109/09/24,93090,40.90,40.90,40.00,40.00,0.90,77,3738058
109/09/25,74000,39.70,40.40,39.40,39.50,0.50,53,2954200
109/09/28,35000,39.45,40.00,39.15,39.50,0.00,31,1386700
109/09/29,42040,39.55,40.30,39.55,40.20,0.70,32,1682162
109/09/30,77337,40.00,43.10,40.00,43.10,2.90,51,3239397
109/10/05,274090,43.70,44.85,43.30,43.30,0.20,210,12029729
109/10/06,60120,43.60,44.05,42.80,42.95,0.35,48,2602603
109/10/07,80200,43.00,43.60,43.00,43.60,0.65,69,3483320
109/10/08,65100,43.60,43.75,42.90,43.65,0.05,56,2819934
109/10/12,36300,43.65,43.65,42.50,42.55,1.10,33,1556985
109/10/13,44163,42.30,42.55,42.05,42.20,0.35,39,1864994
109/10/14,54020,42.50,42.50,41.65,42.00,0.20,40,2271648
109/10/15,57000,41.50,42.00,41.50,41.65,0.35,41,2375700
109/10/16,53746,41.50,42.50,41.50,41.65,0.00,51,2250747
109/10/19,41205,42.50,42.70,41.50,41.65,0.00,36,1728217
109/10/20,38000,41.65,41.75,41.30,41.75,0.10,29,1577100
109/10/21,82000,42.05,42.50,41.70,42.20,0.45,59,3455000
109/10/22,31191,42.05,42.05,41.85,41.85,0.35,24,1308864
109/10/23,44000,41.90,41.90,41.30,41.40,0.45,37,1829400
109/10/26,13000,41.30,41.55,41.30,41.30,0.10,11,537550
109/10/27,26000,41.00,41.25,41.00,41.00,0.30,23,1067350
109/10/28,55200,40.60,40.70,40.50,40.65,0.35,37,2239840
109/10/29,32000,40.00,41.20,40.00,41.15,0.50,30,1295450
109/10/30,68000,40.95,41.15,40.40,40.40,0.75,60,2761500
109/11/02,110000,40.35,40.90,39.95,39.95,0.45,83,4421700
109/11/03,128000,40.50,40.95,39.95,40.00,0.05,97,5141100
109/11/04,49279,40.00,41.25,40.00,40.50,0.50,46,1997639
109/11/05,14000,41.00,41.00,40.30,40.50,0.00,14,568650
109/11/06,58000,40.35,40.50,40.35,40.35,0.15,50,2346450
109/11/09,83000,41.00,41.00,40.00,40.05,0.30,69,3346200
109/11/10,107000,40.35,40.80,40.10,40.10,0.05,92,4332000
109/11/11,86335,40.20,40.70,40.15,40.35,0.25,84,3492862
109/11/12,118000,40.50,40.60,40.20,40.20,0.15,92,4770100
109/11/13,35100,40.15,40.45,39.90,40.40,0.20,29,1410640
109/11/16,75075,40.50,40.70,40.40,40.45,0.05,71,3042037
109/11/17,46000,40.20,40.50,40.10,40.10,0.35,36,1852600
109/11/18,108000,40.25,40.60,40.15,40.50,0.40,104,4373850
109/11/19,468051,40.60,41.20,40.45,40.45,0.05,435,19058062
109/11/20,423154,41.40,41.45,40.50,40.50,0.05,373,17378663
109/11/23,264000,40.50,40.60,40.20,40.45,0.05,197,10685350
109/11/24,199021,40.90,41.00,40.45,40.45,0.00,181,8084732
109/11/25,226762,40.70,40.80,40.20,40.40,0.05,178,9189265
109/11/26,228111,40.50,40.70,40.30,40.50,0.10,194,9248024
109/11/27,222679,40.70,40.75,40.40,40.50,0.00,132,9022645
109/11/30,624285,40.60,41.40,40.55,40.65,0.15,354,25460599
109/12/01,919526,40.65,40.90,40.40,40.50,0.15,457,37445060
109/12/02,682303,41.20,41.20,39.95,40.00,0.50,460,27496797
109/12/03,254203,40.00,40.25,39.80,39.80,0.20,182,10147530
