匯僑設計,	6754
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
109/08/25,1262507,60.90,60.90,54.00,56.50,X,965,72637345
109/08/26,838960,56.60,56.80,51.20,51.70,4.80,613,44820083
109/08/27,384500,51.70,52.50,50.10,51.40,0.30,295,19677399
109/08/28,271500,51.10,51.50,50.40,51.50,0.10,177,13865850
109/08/31,205130,51.50,51.90,51.30,51.60,0.10,132,10588921
109/09/01,273156,51.40,51.80,51.00,51.50,0.10,131,14007348
109/09/02,196567,51.50,51.50,50.60,51.00,0.50,108,9999646
109/09/03,203402,51.20,51.30,50.90,51.00,0.00,106,10381242
109/09/04,191280,49.50,50.50,49.00,50.50,0.50,104,9548456
109/09/07,201100,50.30,50.60,50.00,50.60,0.10,98,10104760
109/09/08,87070,50.50,51.40,50.50,51.40,0.80,58,4442798
109/09/09,192120,51.50,54.50,51.50,53.20,1.80,155,10110683
109/09/10,150030,53.70,53.70,52.70,53.00,0.20,100,7948090
109/09/11,142010,52.80,52.90,52.00,52.40,0.60,86,7467424
109/09/14,153200,52.00,52.50,51.70,52.50,0.10,66,7972460
109/09/15,59100,52.90,53.20,52.80,52.80,0.30,36,3128760
109/09/16,109100,53.40,53.40,52.00,52.00,0.80,54,5713200
109/09/17,82000,52.00,52.40,51.40,51.50,0.50,39,4237900
109/09/18,132030,51.40,51.70,51.30,51.30,0.20,58,6803645
109/09/21,128700,51.30,51.50,49.60,49.75,1.55,72,6558530
109/09/22,150387,49.10,49.10,47.30,47.30,2.45,119,7179782
109/09/23,124151,47.30,47.30,45.65,45.95,1.35,104,5721946
109/09/24,193000,45.90,45.90,44.30,44.65,1.30,132,8659300
109/09/25,89110,44.65,45.75,44.00,44.55,0.10,77,4009692
109/09/28,79000,44.60,44.65,43.05,43.95,0.60,72,3442500
109/09/29,53000,43.90,44.10,42.85,42.85,1.10,48,2299550
109/09/30,65000,42.85,43.00,42.35,42.55,0.30,57,2767000
109/10/05,92000,42.80,42.80,41.50,41.65,0.90,80,3836800
109/10/06,68170,41.85,43.80,41.85,43.80,2.15,68,2934696
109/10/07,73450,43.75,43.75,43.00,43.35,0.45,64,3177357
109/10/08,37003,43.10,43.35,42.85,43.10,0.25,37,1593138
109/10/12,97380,42.95,42.95,40.85,40.90,2.20,81,4029430
109/10/13,44000,41.00,41.05,40.70,40.90,0.00,34,1797250
109/10/14,20000,41.00,41.65,41.00,41.45,0.55,14,828950
109/10/15,21000,41.50,41.65,41.15,41.15,0.30,20,867950
109/10/16,35000,41.15,41.25,40.60,40.60,0.55,25,1432050
109/10/19,66000,40.60,41.05,40.55,41.00,0.40,36,2686000
109/10/20,39000,41.00,41.75,41.00,41.25,0.25,29,1611850
109/10/21,24000,41.35,41.75,41.30,41.50,0.25,20,994700
109/10/22,46000,41.60,41.65,41.40,41.50,0.00,38,1909900
109/10/23,20000,41.50,41.85,41.45,41.60,0.10,19,831250
109/10/26,45200,41.65,41.70,41.50,41.50,0.10,32,1881470
109/10/27,57415,40.30,41.50,40.30,41.25,0.25,48,2355917
109/10/28,82000,41.10,41.40,40.65,40.80,0.45,43,3367150
109/10/29,33000,40.40,40.80,40.40,40.80,0.00,27,1342000
109/10/30,40000,40.40,40.90,40.40,40.55,0.25,29,1629300
109/11/02,30000,40.45,40.60,40.40,40.40,0.15,25,1214800
109/11/03,18239,40.80,41.00,40.50,40.50,0.10,16,741455
109/11/04,33030,40.55,40.70,40.45,40.65,0.15,25,1337822
109/11/05,14111,41.20,41.20,40.70,40.70,0.05,18,576300
109/11/06,15235,40.75,40.85,40.70,40.70,0.00,14,621649
109/11/09,53000,41.00,42.15,41.00,41.30,0.60,45,2204300
109/11/10,40000,41.90,41.90,41.00,41.00,0.30,31,1656950
109/11/11,25000,40.95,41.00,40.60,40.80,0.20,20,1020500
109/11/12,117000,41.00,41.05,40.70,40.80,0.00,41,4776500
109/11/13,140000,40.90,41.80,40.80,41.40,0.60,57,5748800
109/11/16,85000,41.35,41.40,41.20,41.40,0.00,44,3510600
109/11/17,114000,42.65,42.65,41.60,41.65,0.25,59,4753050
109/11/18,260900,41.75,42.20,41.75,42.05,0.40,105,10947930
109/11/19,185325,42.30,43.00,42.30,42.70,0.65,105,7913812
109/11/20,174075,43.10,45.15,43.10,44.55,1.85,139,7699137
109/11/23,163507,44.95,44.95,43.50,43.60,0.95,127,7223705
109/11/24,98100,43.55,44.15,43.55,43.90,0.30,89,4313550
109/11/25,74003,44.10,44.10,43.75,43.75,0.15,57,3248685
109/11/26,74319,43.75,43.95,43.75,43.90,0.15,62,3262322
109/11/27,252000,43.85,44.80,43.85,44.50,0.60,135,11145450
109/11/30,131029,45.10,45.10,44.20,44.30,0.20,127,5854189
109/12/01,136235,44.90,44.90,43.80,44.30,0.00,133,6043640
109/12/02,103002,44.50,44.50,43.85,43.85,0.45,97,4555087
109/12/03,110101,44.00,44.00,43.40,43.60,0.25,55,4806123
109/12/04,155423,43.70,43.70,41.95,43.00,0.60,117,6590406
109/12/07,99202,43.00,43.00,42.10,42.15,0.85,50,4221883
109/12/08,119390,42.45,42.45,41.80,42.30,0.15,49,5019430
109/12/09,70002,42.35,42.50,42.15,42.25,0.05,27,2967984
109/12/10,135000,42.90,42.90,41.80,42.30,0.05,47,5683600
109/12/11,44200,42.25,42.25,41.55,42.05,0.25,35,1846744
109/12/14,253001,41.55,42.10,41.50,41.80,0.25,64,10597641
109/12/15,38060,41.75,41.75,41.40,41.40,0.40,30,1579528
109/12/16,328235,41.50,42.00,41.45,41.95,0.55,64,13632195
109/12/17,21000,42.45,42.45,41.80,42.00,0.05,18,882250
109/12/18,20001,42.25,42.25,41.60,41.60,0.40,21,834741
109/12/21,20201,41.85,41.85,41.00,41.60,0.00,20,833051
109/12/22,30341,41.60,41.60,40.80,40.80,0.80,26,1243760
109/12/23,32030,41.20,41.25,40.10,41.25,0.45,29,1294187
109/12/24,43000,41.45,41.60,40.70,41.60,0.35,34,1773900
109/12/25,16001,41.70,41.70,41.00,41.05,0.55,12,659391
109/12/28,41010,41.35,41.35,40.85,41.15,0.10,33,1679861
109/12/29,85068,41.10,41.10,40.70,40.95,0.20,44,3470283
109/12/30,14110,41.10,41.10,40.70,40.85,0.10,15,575487
109/12/31,24000,41.35,41.35,40.85,41.25,0.40,19,985850
110/01/04,74070,41.20,41.20,40.80,40.80,0.45,36,3033384
110/01/05,27030,40.80,40.80,40.65,40.70,0.10,24,1101330
110/01/06,41050,41.25,41.25,40.65,40.65,0.05,27,1673450
