華冠            ,	8101
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1288218,11.80,11.85,11.65,11.75,-0.10,551,15130248
104/01/06,2240366,11.75,11.75,11.50,11.55,-0.20,670,25956692
104/01/07,2276941,11.65,11.80,11.55,11.70,0.15,604,26608621
104/01/08,2298340,11.85,11.85,11.65,11.70,,817,27010610
104/01/09,2261253,11.80,11.90,11.65,11.90,0.20,620,26550787
104/01/12,2358658,11.75,11.80,11.40,11.55,-0.35,713,27321747
104/01/13,1143448,11.60,11.65,11.55,11.55,,357,13257821
104/01/14,710139,11.65,11.80,11.60,11.80,0.25,288,8320090
104/01/15,842277,11.80,11.85,11.70,11.75,-0.05,276,9904540
104/01/16,1507983,11.80,11.90,11.65,11.90,0.15,533,17777349
104/01/19,1559957,11.95,12.00,11.65,11.65,-0.25,472,18485699
104/01/20,1334599,11.80,11.90,11.75,11.90,0.25,471,15798118
104/01/21,1691630,12.00,12.00,11.85,11.90,,596,20167596
104/01/22,6765914,11.90,12.70,11.85,12.70,0.80,1985,83932197
104/01/23,6427656,12.80,13.10,12.60,12.85,0.15,1966,82639889
104/01/26,3071137,12.85,13.20,12.70,13.05,0.20,849,39388231
104/01/27,2255602,13.10,13.35,12.95,12.95,-0.10,742,29514463
104/01/28,1248379,12.85,13.05,12.80,13.00,0.05,425,16111387
104/01/29,876830,13.00,13.15,12.90,12.90,-0.10,284,11360104
104/01/30,984941,13.00,13.05,12.90,12.95,0.05,300,12752084
104/02/02,2258111,12.85,12.85,12.35,12.35,-0.60,597,28369119
104/02/03,1291719,12.30,12.60,12.30,12.55,0.20,362,16045347
104/02/04,897145,12.55,12.60,12.30,12.35,-0.20,268,11122236
104/02/05,350535,12.25,12.45,12.25,12.45,0.10,145,4338781
104/02/06,379868,12.45,12.45,12.30,12.40,-0.05,151,4709754
104/02/09,765785,12.30,12.50,12.30,12.35,-0.05,210,9482643
104/02/10,1342867,12.30,12.35,12.05,12.05,-0.30,483,16330242
104/02/11,435750,12.10,12.15,12.05,12.10,0.05,152,5269187
104/02/12,293315,12.30,12.30,12.10,12.20,0.10,139,3580341
104/02/13,607684,12.25,12.25,12.10,12.15,-0.05,177,7384322
104/02/24,397808,12.40,12.40,12.15,12.20,0.05,159,4867422
104/02/25,435232,12.20,12.35,12.15,12.30,0.10,180,5339375
104/02/26,902030,12.30,12.60,12.20,12.55,0.25,329,11190472
104/03/02,529163,12.45,12.60,12.45,12.45,-0.10,205,6612866
104/03/03,772360,12.45,12.70,12.40,12.55,0.10,262,9708098
104/03/04,485387,12.50,12.60,12.45,12.50,-0.05,173,6083718
104/03/05,443268,12.50,12.60,12.45,12.55,0.05,179,5564149
104/03/06,843687,12.50,12.60,12.45,12.50,-0.05,249,10555415
104/03/09,502283,12.50,12.55,12.40,12.45,-0.05,208,6268104
104/03/10,595583,12.45,12.55,12.40,12.45,,208,7408374
104/03/11,418777,12.45,12.50,12.30,12.50,0.05,182,5208331
104/03/12,2400097,12.65,12.95,12.60,12.85,0.35,861,30807788
104/03/13,687823,12.85,12.85,12.70,12.70,-0.15,278,8793516
104/03/16,494883,12.75,12.85,12.70,12.70,,208,6311611
104/03/17,645542,12.75,12.80,12.50,12.55,-0.15,223,8186321
104/03/18,759373,12.60,12.65,12.55,12.55,,271,9567488
104/03/19,667748,12.60,12.60,12.50,12.60,0.05,222,8379031
104/03/20,822627,12.65,12.80,12.60,12.60,,317,10428194
104/03/23,704103,12.60,12.80,12.60,12.70,0.10,249,8955846
104/03/24,482819,12.70,12.75,12.55,12.55,-0.15,164,6092373
104/03/25,1418941,12.60,12.60,12.30,12.30,-0.25,323,17594964
104/03/26,1516917,11.45,11.95,11.45,11.85,-0.45,563,17851749
104/03/27,1188289,11.80,11.85,11.65,11.65,-0.20,379,13918297
104/03/30,1297195,11.85,12.05,11.85,11.95,0.30,437,15508228
104/03/31,791346,12.05,12.10,11.85,11.95,,235,9456064
104/04/01,949421,12.05,12.05,11.65,11.70,-0.25,258,11214899
104/04/02,621971,11.65,11.80,11.65,11.75,0.05,223,7306450
104/04/07,1045826,11.85,11.85,11.60,11.70,-0.05,309,12220410
104/04/08,876489,11.80,11.80,11.55,11.75,0.05,248,10232016
104/04/09,2973327,11.75,12.50,11.70,12.40,0.65,835,35919651
104/04/10,2714476,12.30,12.30,11.70,11.80,-0.60,776,32633341
104/04/13,1115226,11.80,11.80,11.55,11.75,-0.05,302,13077441
104/04/14,951965,11.80,11.90,11.65,11.80,0.05,239,11238833
104/04/15,877551,11.80,12.00,11.75,11.90,0.10,286,10396254
104/04/16,2056930,11.90,12.30,11.90,11.90,,595,24859166
104/04/17,495850,11.95,12.00,11.85,12.00,0.10,206,5915863
104/04/20,570035,11.90,12.05,11.80,11.90,-0.10,181,6784110
104/04/21,651117,11.80,11.90,11.60,11.60,-0.30,208,7624111
104/04/22,607068,11.65,11.65,11.50,11.60,,231,7017686
104/04/23,1302862,11.60,11.75,11.55,11.60,,404,15174749
104/04/24,1438961,11.60,11.75,11.40,11.50,-0.10,506,16597597
104/04/27,643389,11.55,11.60,11.35,11.45,-0.05,316,7381426
104/04/28,1228317,11.45,11.50,11.25,11.30,-0.15,403,13950510
104/04/29,790116,11.30,11.40,11.15,11.15,-0.15,379,8885739
104/04/30,2563506,11.15,11.30,10.60,11.30,0.15,867,28063940
104/05/04,999811,11.30,11.40,11.10,11.40,0.10,377,11231209
104/05/05,421955,11.30,11.35,11.20,11.30,-0.10,166,4753292
104/05/06,427790,11.20,11.30,11.15,11.30,,211,4812944
104/05/07,382734,11.25,11.30,11.15,11.20,-0.10,148,4290965
104/05/08,586326,11.20,11.30,11.00,11.30,0.10,192,6552064
104/05/11,963100,11.15,11.20,10.65,10.70,-0.60,408,10479230
104/05/12,2162680,10.55,10.70,10.00,10.45,-0.25,618,22233569
104/05/13,1021838,10.45,10.55,10.35,10.40,-0.05,335,10671920
104/05/14,937710,10.50,10.75,10.30,10.75,0.35,238,9895993
104/05/15,1274236,10.65,11.00,10.45,11.00,0.25,318,13787320
104/05/18,615154,10.75,10.85,10.50,10.50,-0.50,233,6549978
104/05/19,544384,10.50,10.70,10.45,10.70,0.20,254,5747968
104/05/20,757010,10.70,10.70,10.45,10.70,,318,7990104
104/05/21,387327,10.55,10.65,10.45,10.60,-0.10,147,4080831
104/05/22,3626747,10.55,10.95,10.50,10.95,0.35,631,39275691
104/05/25,453172,10.90,10.90,10.70,10.75,-0.20,238,4882839
104/05/26,536536,10.75,10.85,10.60,10.60,-0.15,190,5741902
104/05/27,514250,10.55,10.65,10.50,10.65,0.05,231,5422296
104/05/28,787076,10.55,10.70,10.45,10.55,-0.10,351,8303596
104/05/29,1292432,10.55,10.95,10.50,10.95,0.40,327,13928108
104/06/01,322297,10.85,10.85,10.65,10.70,-0.25,118,3457261
104/06/02,489510,10.70,10.80,10.60,10.75,0.05,149,5235655
104/06/03,494655,10.75,10.75,10.45,10.65,-0.10,216,5240941
104/06/04,838406,10.55,10.60,10.15,10.55,-0.10,282,8735112
104/06/05,1901019,10.45,10.85,10.10,10.85,0.30,440,20210204
104/06/08,766724,10.75,10.75,10.40,10.40,-0.45,263,8057442
104/06/09,2013030,10.10,10.20,9.36,9.36,-1.04,540,19575210
104/06/10,3435924,8.80,9.30,8.43,8.44,-0.92,1107,29424663
104/06/11,2252951,8.47,9.24,8.44,9.24,0.80,783,19845074
104/06/12,3788834,9.09,10.00,8.90,10.00,0.76,906,36412062
104/06/15,971296,10.00,10.00,9.76,9.98,-0.02,308,9619353
104/06/16,1058694,9.91,10.30,9.84,9.94,-0.04,346,10612397
104/06/17,748029,9.98,10.10,9.68,9.68,-0.26,411,7393999
104/06/18,1197656,9.68,10.10,9.68,10.10,0.42,297,11905040
104/06/22,653864,10.15,10.30,9.96,10.00,-0.10,229,6595044
104/06/23,320000,10.00,10.10,9.92,9.94,-0.06,149,3196030
104/06/24,716148,9.98,10.00,9.70,9.89,-0.05,322,7068820
104/06/25,260267,9.89,9.98,9.80,9.85,-0.04,128,2567878
104/06/26,499218,9.85,9.96,9.78,9.96,0.11,154,4935677
104/06/29,382299,9.90,9.90,9.60,9.65,-0.31,161,3701612
104/06/30,187227,9.60,9.65,9.55,9.58,-0.07,104,1795110
104/07/01,664042,9.50,9.65,9.41,9.41,-0.17,278,6300012
104/07/02,686633,9.50,9.74,9.48,9.62,0.21,279,6611684
104/07/03,6869602,10.15,10.55,9.91,10.55,0.93,1251,72060983
104/07/06,10669305,10.80,11.00,10.45,10.65,0.10,2385,114700983
104/07/07,2192603,10.65,10.70,10.25,10.25,-0.40,722,22924677
104/07/08,1808653,10.45,10.45,9.61,9.65,-0.60,649,17922598
104/07/09,3320029,9.50,9.85,8.80,9.85,0.20,1090,30922094
104/07/13,1928149,10.00,10.05,9.70,9.70,-0.15,690,18965260
104/07/14,1537118,9.75,9.85,9.28,9.28,-0.42,537,14671986
104/07/15,910356,9.40,9.48,9.19,9.19,-0.09,325,8502063
104/07/16,1476863,9.25,9.72,9.25,9.70,0.51,424,13966619
104/07/17,3644274,9.37,10.00,9.37,9.99,0.29,662,35876015
104/07/20,752647,9.98,9.98,9.57,9.60,-0.39,292,7341344
104/07/21,499100,9.60,9.80,9.56,9.61,0.01,180,4817320
104/07/22,336453,9.51,9.72,9.51,9.53,-0.08,143,3226667
104/07/23,691000,9.55,9.70,9.51,9.56,0.03,279,6634440
104/07/24,1409500,9.93,9.93,9.68,9.81,0.25,485,13878929
104/07/27,1178029,9.90,9.90,8.85,9.40,-0.41,375,11168049
104/07/28,410209,9.08,9.50,9.07,9.40,,194,3827824
104/07/29,412680,9.40,9.56,9.40,9.42,0.02,129,3893261
104/07/30,2263499,9.55,10.20,9.50,10.15,0.73,669,22601023
104/07/31,726100,10.15,10.15,9.90,9.90,-0.25,318,7248510
104/08/03,376118,9.90,9.90,9.72,9.74,-0.16,184,3680263
104/08/04,604599,9.90,9.90,9.40,9.40,-0.34,256,5774902
104/08/05,297059,9.40,9.60,9.40,9.59,0.19,139,2830291
104/08/06,476267,9.70,9.70,9.48,9.48,-0.11,180,4531019
104/08/07,475179,9.48,9.60,9.33,9.42,-0.06,154,4490436
104/08/10,530179,9.40,9.55,9.34,9.40,-0.02,163,4987491
104/08/11,677149,9.49,9.51,9.18,9.20,-0.20,307,6295651
104/08/12,255500,9.20,9.25,9.08,9.12,-0.08,131,2333405
104/08/13,399500,9.15,9.29,9.08,9.11,-0.01,135,3653438
104/08/14,330632,9.11,9.14,9.00,9.00,-0.11,136,2986273
104/08/17,849718,9.09,9.09,8.70,8.75,-0.25,261,7519755
104/08/18,419500,9.00,9.00,8.76,8.82,0.07,156,3704989
104/08/19,671689,8.98,8.98,8.71,8.90,0.08,292,5912502
104/08/20,371982,8.90,9.00,8.76,9.00,0.10,187,3329049
104/08/21,1010618,8.80,8.90,8.51,8.89,-0.11,322,8815328
104/08/24,2187180,8.41,8.55,8.01,8.55,-0.34,542,17935537
104/08/25,1342129,8.01,8.77,8.01,8.72,0.17,318,11396689
104/08/26,1296296,8.65,8.83,8.39,8.83,0.11,253,11279333
104/08/27,1214598,8.81,9.08,8.75,8.95,0.12,301,10831242
104/08/28,623500,8.97,9.22,8.97,9.11,0.16,228,5699608
104/08/31,470400,9.11,9.26,9.06,9.13,0.02,196,4313516
104/09/01,391306,9.08,9.24,9.08,9.13,,205,3578294
104/09/02,507306,9.10,9.16,9.03,9.06,-0.07,175,4606614
104/09/03,897765,9.32,9.45,9.20,9.39,0.33,380,8366423
104/09/04,532628,9.39,9.43,9.32,9.32,-0.07,230,4989942
104/09/07,328000,9.34,9.40,9.33,9.38,0.06,144,3071460
104/09/08,1698088,9.70,9.94,9.66,9.80,0.42,581,16659837
