勤誠            ,	8210
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1133481,53.20,55.30,53.00,55.00,1.80,798,61798196
104/01/06,630031,54.70,54.70,53.80,54.00,-1.00,443,34169189
104/01/07,308449,53.80,54.40,53.70,53.80,-0.20,232,16640146
104/01/08,968503,54.00,55.00,53.50,54.80,1.00,600,52512962
104/01/09,4843790,55.50,58.40,55.40,57.10,2.30,2769,276127792
104/01/12,2580169,57.10,58.20,56.30,57.60,0.50,1509,148169463
104/01/13,978910,57.60,57.60,56.60,57.20,-0.40,693,55938049
104/01/14,3179327,57.60,59.00,57.50,58.30,1.10,1735,186048592
104/01/15,887569,58.00,58.50,57.50,58.10,-0.20,594,51490556
104/01/16,2252714,57.70,58.30,55.50,55.60,-2.50,1445,127195784
104/01/19,1313266,56.80,56.90,55.50,56.00,0.40,792,73609449
104/01/20,841501,55.80,57.20,55.60,56.70,0.70,607,47831207
104/01/21,577200,56.70,57.60,56.50,56.70,,385,32895538
104/01/22,596272,57.00,57.70,56.70,56.70,,386,34077039
104/01/23,3406493,57.80,59.50,57.60,58.30,1.60,2079,199973539
104/01/26,1295386,58.50,58.90,57.30,57.80,-0.50,891,75159670
104/01/27,989293,57.80,58.20,56.90,57.30,-0.50,615,56682147
104/01/28,528150,57.00,57.50,56.90,57.10,-0.20,387,30187795
104/01/29,659154,57.10,57.40,56.20,56.60,-0.50,415,37357861
104/01/30,756594,56.70,56.90,55.60,55.60,-1.00,515,42412020
104/02/02,674230,55.60,56.00,54.80,55.00,-0.60,458,37191196
104/02/03,496322,55.50,56.20,55.20,55.50,0.50,335,27703905
104/02/04,483853,55.60,56.30,55.50,55.50,,373,26948838
104/02/05,320000,55.50,55.90,55.30,55.70,0.20,215,17781500
104/02/06,865000,55.80,56.10,54.50,54.80,-0.90,619,47614100
104/02/09,789300,54.60,54.60,53.70,53.90,-0.90,464,42624329
104/02/10,1412603,53.90,54.30,51.30,52.00,-1.90,954,74439056
104/02/11,747350,52.30,53.80,52.30,53.30,1.30,507,39726389
104/02/12,261255,53.80,53.80,52.80,53.30,,179,13878742
104/02/13,316000,53.50,53.90,53.10,53.40,0.10,232,16919500
104/02/24,603275,54.50,54.70,53.10,53.40,,418,32395184
104/02/25,574958,53.50,54.00,53.30,53.40,,376,30795448
104/02/26,614617,54.20,54.90,53.70,54.30,0.90,459,33487341
104/03/02,349616,54.20,54.60,54.20,54.60,0.30,209,18996947
104/03/03,385332,55.00,55.20,54.30,54.40,-0.20,236,21016593
104/03/04,485000,54.50,54.70,54.10,54.20,-0.20,260,26372100
104/03/05,670865,54.70,54.70,53.50,54.10,-0.10,450,36147922
104/03/06,618807,54.10,54.60,53.90,53.90,-0.20,419,33491154
104/03/09,652512,53.90,54.00,52.80,53.90,,447,34844594
104/03/10,923406,53.20,53.30,52.50,52.60,-1.30,606,48712895
104/03/11,670151,52.10,52.60,51.70,52.60,,448,34888733
