台汽電          ,	8926
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1198191,24.50,24.50,24.25,24.30,-0.20,532,29202155
104/01/06,715856,24.25,24.45,24.05,24.40,0.10,435,17378827
104/01/07,403109,24.35,24.40,24.15,24.35,-0.05,209,9809746
104/01/08,372608,24.50,24.50,24.35,24.40,0.05,188,9082978
104/01/09,579322,24.40,24.50,24.30,24.30,-0.10,262,14103918
104/01/12,405797,24.30,24.35,24.15,24.20,-0.10,236,9820288
104/01/13,368793,24.30,24.40,24.20,24.30,0.10,251,8963575
104/01/14,503386,24.30,24.60,24.30,24.60,0.30,283,12326301
104/01/15,424524,24.60,24.80,24.45,24.50,-0.10,284,10434333
104/01/16,826102,24.55,24.60,24.15,24.20,-0.30,501,20042861
104/01/19,574166,24.25,24.50,24.10,24.10,-0.10,249,13916055
104/01/20,511432,24.30,24.30,24.10,24.20,0.10,291,12365348
104/01/21,621527,24.20,24.30,24.10,24.10,-0.10,434,15011796
104/01/22,704316,24.15,24.20,24.10,24.20,0.10,378,17008845
104/01/23,410308,24.20,24.45,24.20,24.25,0.05,203,9992533
104/01/26,434114,24.30,24.45,24.20,24.30,0.05,237,10559157
104/01/27,745971,24.30,24.45,24.30,24.40,0.10,450,18162634
104/01/28,1416713,24.40,24.95,24.30,24.70,0.30,634,35081839
104/01/29,772172,24.70,24.95,24.55,24.60,-0.10,432,19107475
104/01/30,452863,24.60,24.85,24.60,24.70,0.10,257,11206859
104/02/02,430258,24.70,24.80,24.55,24.65,-0.05,214,10610467
104/02/03,355657,24.80,24.80,24.65,24.80,0.15,153,8795305
104/02/04,548401,24.90,24.90,24.70,24.70,-0.10,332,13597561
104/02/05,422553,24.70,24.85,24.70,24.85,0.15,167,10473380
104/02/06,299334,24.90,24.95,24.70,24.80,-0.05,161,7433829
104/02/09,254026,24.80,24.95,24.80,24.85,0.05,163,6317493
104/02/10,487723,24.90,24.95,24.80,24.85,,274,12136378
104/02/11,369900,24.90,24.95,24.85,24.90,0.05,150,9213614
104/02/12,459911,24.90,25.00,24.90,24.95,0.05,289,11470838
104/02/13,709798,24.95,25.00,24.90,24.90,-0.05,336,17709734
104/02/24,483595,24.90,25.10,24.90,25.05,0.15,240,12078839
104/02/25,829974,25.05,25.50,25.00,25.35,0.30,340,20953779
104/02/26,802629,25.35,25.50,25.20,25.25,-0.10,305,20304096
104/03/02,764015,25.30,25.45,25.20,25.25,,306,19329972
104/03/03,524655,25.30,25.45,25.30,25.45,0.20,230,13323868
104/03/04,684247,25.45,25.55,25.35,25.55,0.10,346,17443052
104/03/05,1517899,25.60,26.15,25.55,26.05,0.50,607,39392024
104/03/06,453759,26.05,26.20,25.95,26.10,0.05,267,11819758
104/03/09,1090866,26.10,26.20,25.55,25.65,-0.45,463,28164310
104/03/10,932493,25.65,26.00,25.45,25.95,0.30,374,23994610
104/03/11,988650,25.60,26.00,25.55,25.60,-0.35,560,25459261
104/03/12,487977,25.60,25.85,25.55,25.75,0.15,239,12530202
104/03/13,557714,25.80,26.00,25.75,25.95,0.20,251,14425617
104/03/16,1295280,26.00,26.35,26.00,26.25,0.30,531,33945083
104/03/17,1428421,26.30,26.80,26.30,26.55,0.30,704,37893902
104/03/18,3385927,26.55,27.35,26.50,26.75,0.20,1327,91495744
104/03/19,1085942,26.85,27.10,26.70,26.75,,459,29134394
104/03/20,2054289,26.85,27.65,26.75,27.60,0.85,1096,55930902
104/03/23,2523582,27.65,28.30,27.65,28.00,0.40,1020,70657120
104/03/24,1773239,28.05,28.45,27.70,27.80,-0.20,748,49732735
104/03/25,5877108,27.05,27.05,26.15,26.30,-1.50,2088,155387188
104/03/26,2546117,26.30,27.00,26.20,26.85,0.55,1089,67887868
104/03/27,1726803,27.00,27.25,26.75,27.00,0.15,755,46633999
104/03/30,1305979,27.00,27.20,26.90,27.00,,469,35275283
104/03/31,1001222,27.10,27.20,26.90,27.10,0.10,461,27080244
104/04/01,945572,27.10,27.10,26.95,27.00,-0.10,403,25552126
104/04/02,2160409,27.00,27.70,27.00,27.70,0.70,733,59296002
104/04/07,1027416,27.70,27.85,27.60,27.65,-0.05,517,28447387
104/04/08,652905,27.65,27.70,27.35,27.70,0.05,445,17973670
104/04/09,1619029,27.70,28.25,27.70,28.10,0.40,732,45423712
104/04/10,986881,28.00,28.30,27.90,27.95,-0.15,528,27644819
104/04/13,1027350,27.95,28.20,27.90,28.10,0.15,492,28769973
104/04/14,660163,28.10,28.10,27.95,28.00,-0.10,292,18503642
104/04/15,1330049,28.00,28.10,27.60,27.60,-0.40,744,37019095
104/04/16,3917632,27.70,29.50,27.70,29.00,1.40,1851,113165806
104/04/17,1404127,29.00,29.15,28.55,28.90,-0.10,761,40529603
104/04/20,1124609,28.85,29.00,28.35,28.80,-0.10,727,32264120
104/04/21,1469671,28.90,29.00,28.15,28.25,-0.55,724,41757787
104/04/22,879135,28.15,28.50,28.05,28.45,0.20,537,24782322
104/04/23,757898,28.45,28.65,28.35,28.45,,489,21592134
104/04/24,1066075,28.60,28.80,28.50,28.60,0.15,732,30520423
104/04/27,2106832,28.60,29.20,28.60,29.10,0.50,1108,61079717
104/04/28,2337924,29.30,29.60,29.05,29.45,0.35,1276,68742305
104/04/29,1870241,29.50,30.00,29.40,29.50,0.05,1014,55525882
104/04/30,2314922,29.60,30.50,29.50,30.30,0.80,1196,69345525
104/05/04,1855137,30.40,30.45,29.70,29.80,-0.50,877,55609170
104/05/05,1509192,29.70,29.75,29.20,29.20,-0.60,759,44332193
104/05/06,1736239,29.10,29.70,29.10,29.30,0.10,864,51062866
104/05/07,1353507,29.30,29.40,28.75,28.80,-0.50,722,39171190
104/05/08,1541743,29.00,29.20,28.85,29.00,0.20,621,44707701
104/05/11,2455888,29.00,29.10,28.15,28.20,-0.80,1041,69873782
104/05/12,3696071,28.10,28.30,27.25,27.55,-0.65,1356,102385347
104/05/13,2249599,27.40,28.00,26.90,27.75,0.20,876,61555472
104/05/14,1063386,28.00,28.00,27.75,27.85,0.10,579,29639239
104/05/15,741137,27.85,27.85,27.35,27.45,-0.40,364,20443269
104/05/18,813326,27.45,27.60,27.30,27.60,0.15,376,22352039
104/05/19,1073893,27.85,28.20,27.75,28.15,0.55,553,30086472
104/05/20,889046,28.20,28.25,27.60,27.70,-0.45,500,24743827
104/05/21,582055,27.60,27.70,27.45,27.60,-0.10,424,16057615
104/05/22,1030764,27.55,27.80,27.50,27.55,-0.05,568,28447685
104/05/25,911021,27.45,27.50,27.30,27.40,-0.15,476,24971475
104/05/26,1818754,27.40,27.45,26.95,27.05,-0.35,733,49301107
104/05/27,1744900,26.95,27.50,26.80,27.50,0.45,796,47154302
104/05/28,1386965,27.50,27.50,26.90,27.00,-0.50,682,37506346
104/05/29,1324434,27.00,27.45,27.00,27.45,0.45,456,36171986
104/06/01,619199,27.50,27.50,27.10,27.25,-0.20,284,16877558
104/06/02,672230,27.25,27.25,27.05,27.05,-0.20,414,18253578
104/06/03,595738,27.05,27.40,27.05,27.05,,349,16201344
104/06/04,1595790,27.15,27.20,26.55,26.55,-0.50,789,42803810
104/06/05,1869733,26.60,26.75,25.85,26.10,-0.45,909,48859847
104/06/08,923442,26.10,26.90,26.00,26.70,0.60,407,24384046
104/06/09,499538,26.70,26.70,26.35,26.50,-0.20,358,13224455
104/06/10,587493,26.50,26.75,26.40,26.60,0.10,296,15582061
104/06/11,379739,26.60,26.60,26.30,26.40,-0.20,309,10026917
104/06/12,509406,26.35,26.70,26.35,26.65,0.25,262,13537989
104/06/15,421187,26.70,26.90,26.40,26.45,-0.20,189,11207210
104/06/16,483237,26.50,26.55,26.30,26.40,-0.05,190,12756554
104/06/17,1165134,26.35,26.45,26.15,26.30,-0.10,647,30606222
104/06/18,580116,26.60,26.70,26.20,26.40,0.10,400,15305708
104/06/22,377913,26.60,26.65,26.40,26.55,0.15,185,10041788
104/06/23,751050,26.55,26.70,26.55,26.60,0.05,333,19988985
104/06/24,418784,26.75,26.75,26.55,26.60,,202,11149302
104/06/25,565210,26.60,26.90,26.55,26.80,0.20,349,15097523
104/06/26,925577,26.90,27.55,26.90,27.40,0.60,596,25365954
104/06/29,1565900,27.50,27.70,26.90,26.90,-0.50,892,42600200
104/06/30,648322,27.00,27.10,26.70,26.80,-0.10,318,17438560
104/07/01,783310,27.00,27.45,26.70,27.35,0.55,523,21144527
104/07/02,983105,27.45,27.95,27.30,27.35,,566,27158879
104/07/03,460903,27.50,27.55,27.05,27.10,-0.25,318,12561649
104/07/06,610349,27.00,27.10,26.65,26.75,-0.35,328,16382166
104/07/07,412483,26.80,27.00,26.75,26.75,,209,11076767
104/07/08,1332600,26.85,26.85,26.15,26.25,-0.50,622,35154806
104/07/09,1401849,26.05,26.15,25.25,26.05,-0.20,646,36206991
