秋雨            ,	9929
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,76001,9.13,9.18,9.10,9.11,-0.03,37,694509
104/01/06,34445,9.11,9.11,9.00,9.00,-0.11,11,311731
104/01/07,15140,9.00,9.00,9.00,9.00,,18,136260
104/01/08,17004,9.00,9.00,9.00,9.00,,6,153036
104/01/09,25140,9.00,9.05,9.00,9.05,0.05,11,226516
104/01/12,553106,9.05,9.08,9.00,9.05,,23,5004522
104/01/13,12760,9.05,9.10,9.05,9.10,0.05,19,115624
104/01/14,6004,9.05,9.05,9.01,9.01,-0.09,8,54256
104/01/15,2005,8.95,8.95,8.95,8.95,-0.06,6,17945
104/01/16,138005,9.00,9.00,8.85,8.85,-0.10,33,1228945
104/01/19,101305,8.90,9.06,8.90,9.06,0.21,33,912304
104/01/20,75490,9.05,9.06,8.90,8.90,-0.16,34,678578
104/01/21,77005,9.04,9.05,9.00,9.00,0.10,17,693815
104/01/22,67006,9.05,9.06,8.88,9.00,,20,604855
104/01/23,51015,9.05,9.05,8.67,9.02,0.02,26,458913
104/01/26,53005,8.61,9.04,8.61,9.00,-0.02,18,476835
104/01/27,65079,9.05,9.05,8.81,8.81,-0.19,28,585047
104/01/28,70550,9.00,9.00,8.82,8.83,0.02,18,632798
104/01/29,398140,9.00,9.00,8.86,8.86,0.03,19,3531285
104/01/30,28475,8.81,8.86,8.50,8.86,,19,249246
104/02/02,2582,8.55,8.67,8.55,8.67,-0.19,11,22203
104/02/03,40383,8.52,8.91,8.38,8.90,0.23,24,344264
104/02/04,2476,8.60,8.66,8.60,8.66,-0.24,14,21351
104/02/05,27350,8.55,9.00,8.55,9.00,0.34,8,244688
104/02/06,164953,8.99,9.00,8.95,9.00,,38,1483740
104/02/09,56577,9.00,9.00,8.89,8.89,-0.11,16,508960
104/02/10,74197,9.00,9.10,8.89,9.10,0.21,16,671635
104/02/11,67015,9.00,9.08,9.00,9.00,-0.10,22,603935
104/02/12,76265,8.67,9.05,8.65,8.81,-0.19,39,684844
104/02/13,58001,8.95,9.00,8.95,8.99,0.18,10,521258
104/02/24,98492,8.99,9.00,8.80,9.00,0.01,47,883575
104/02/25,613006,9.00,9.00,8.73,8.90,-0.10,26,5461064
104/02/26,36213,8.95,8.95,8.90,8.90,,19,323941
104/03/02,101250,8.90,9.00,8.90,8.90,,26,905559
104/03/03,167253,8.90,9.00,8.80,8.90,,80,1488485
104/03/04,244528,8.81,8.95,8.81,8.90,,79,2173245
104/03/05,172755,8.90,8.95,8.50,8.50,-0.40,40,1530313
104/03/06,338464,8.00,8.95,8.00,8.75,0.25,113,2977832
104/03/09,122301,8.80,9.00,8.72,8.72,-0.03,48,1082697
104/03/10,236582,8.70,8.95,8.70,8.75,0.03,78,2091291
104/03/11,139075,8.90,8.93,8.70,8.76,0.01,56,1219580
104/03/12,195004,8.80,9.00,8.80,8.83,0.07,55,1742566
104/03/13,93161,8.95,8.97,8.80,8.80,-0.03,38,825952
104/03/16,105100,8.85,8.90,8.76,8.80,,40,929223
104/03/17,52257,8.80,8.89,8.76,8.76,-0.04,31,461240
104/03/18,38005,8.75,8.90,8.72,8.72,-0.04,27,333670
104/03/19,52048,8.85,8.85,8.72,8.74,0.02,36,455041
104/03/20,50056,8.74,8.75,8.71,8.75,0.01,28,436890
104/03/23,188188,8.75,8.85,8.50,8.60,-0.15,66,1642290
104/03/24,86347,8.40,8.85,8.40,8.65,0.05,34,751234
104/03/25,81353,8.61,8.75,8.61,8.65,,45,704337
104/03/26,53035,8.10,8.75,8.10,8.55,-0.10,32,454954
104/04/10,13361,13.65,13.65,13.65,13.65,X,40,182360
104/04/13,16448,13.00,13.00,12.70,12.70,-0.95,56,209514
104/04/14,34259,11.90,13.00,11.90,12.80,0.10,43,418473
104/04/15,9607,12.05,12.10,12.00,12.10,-0.70,27,116256
104/04/16,13865,12.25,12.35,12.25,12.30,0.20,28,169506
104/04/17,30476,12.30,12.60,12.30,12.35,0.05,36,380949
104/04/20,3809,12.35,12.35,12.35,12.35,,8,47040
104/04/21,6926,12.35,12.35,12.10,12.35,,12,84772
104/04/22,41103,12.25,12.25,12.00,12.00,-0.35,45,493496
104/04/23,14184,12.05,12.05,12.05,12.05,0.05,15,170858
104/04/24,407001,12.15,12.15,12.15,12.15,0.10,5,4945062
104/04/27,97142,12.15,12.15,11.90,11.90,-0.25,42,1159693
104/04/28,5328,12.30,12.30,11.95,12.00,0.10,7,64402
