中聯資          ,	9930
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,54214,70.50,70.50,70.00,70.10,-0.40,49,3803551
104/01/06,42575,70.00,70.00,69.70,69.80,-0.30,42,2974322
104/01/07,19395,70.00,70.40,70.00,70.20,0.40,18,1361735
104/01/08,40154,70.20,70.50,70.20,70.30,0.10,35,2823694
104/01/09,47208,70.50,70.50,70.30,70.40,0.10,43,3322539
104/01/12,328517,71.00,72.50,71.00,71.90,1.50,192,23633266
104/01/13,65687,72.00,72.20,71.60,71.90,,67,4723919
104/01/14,19569,72.20,72.20,71.70,71.80,-0.10,23,1407752
104/01/15,22353,71.80,72.00,71.60,71.90,0.10,24,1604630
104/01/16,62477,71.80,71.80,71.00,71.40,-0.50,54,4453946
104/01/19,23104,71.90,71.90,70.70,71.10,-0.30,24,1646288
104/01/20,22469,71.10,71.60,71.10,71.60,0.50,27,1604619
104/01/21,24800,71.60,72.00,71.60,72.00,0.40,34,1781377
104/01/22,76525,72.00,72.40,71.60,71.90,-0.10,64,5499945
104/01/23,47815,71.90,72.00,71.70,71.70,-0.20,42,3434632
104/01/26,85221,71.70,71.70,70.90,71.10,-0.60,62,6055634
104/01/27,19597,71.70,71.70,71.10,71.10,,22,1397144
104/01/28,30399,71.10,71.10,71.00,71.10,,21,2161268
104/01/29,41100,70.80,71.20,70.60,71.20,0.10,34,2912960
104/01/30,19660,71.70,71.70,71.00,71.40,0.20,26,1399292
104/02/02,23250,71.80,71.80,71.10,71.20,-0.20,28,1656800
104/02/03,18332,70.70,71.40,70.70,71.30,0.10,22,1303403
104/02/04,33121,71.70,71.70,71.10,71.10,-0.20,38,2366991
104/02/05,14133,71.10,71.40,71.10,71.30,0.20,14,1007622
104/02/06,19005,71.20,71.50,71.00,71.50,0.20,17,1356160
104/02/09,48825,72.00,72.00,71.60,71.70,0.20,60,3504948
104/02/10,47438,71.70,72.00,71.20,72.00,0.30,50,3409036
104/02/11,81589,72.00,72.30,72.00,72.20,0.20,66,5888423
104/02/12,120716,72.00,72.20,72.00,72.00,-0.20,32,8697252
104/02/13,53604,72.50,72.50,72.10,72.30,0.30,45,3873225
104/02/24,69625,72.20,72.60,72.20,72.40,0.10,61,5044848
104/02/25,56634,72.50,72.90,72.40,72.40,,52,4111582
104/02/26,49200,72.90,72.90,72.10,72.20,-0.20,42,3557139
104/03/02,38576,72.30,72.40,72.00,72.00,-0.20,34,2787958
104/03/03,40484,72.40,72.40,72.00,72.00,,37,2917748
104/03/04,63230,71.90,72.30,71.50,71.50,-0.50,41,4546906
104/03/05,62200,71.70,71.70,71.30,71.50,,54,4446700
104/03/06,52618,71.60,72.00,71.50,71.90,0.40,40,3773405
104/03/09,45297,71.50,72.00,71.50,72.00,0.10,36,3252132
104/03/10,15700,72.00,72.00,71.80,71.90,-0.10,20,1128749
104/03/11,54524,71.70,72.10,71.70,72.10,0.20,55,3919279
104/03/12,57925,72.20,72.60,72.20,72.60,0.50,56,4199077
104/03/13,91774,72.60,73.00,72.60,72.90,0.30,80,6684821
104/03/16,36482,73.00,73.00,72.90,72.90,,40,2660086
104/03/17,53119,73.00,73.40,72.90,73.40,0.50,46,3884587
104/03/18,60080,73.00,73.40,73.00,73.30,-0.10,60,4401471
104/03/19,110792,73.40,74.60,73.40,74.00,0.70,91,8192703
104/03/20,341391,75.00,76.90,75.00,76.10,2.10,284,26003062
104/03/23,294966,77.00,78.20,77.00,77.10,1.00,244,22892948
104/03/24,141054,77.50,78.00,77.20,77.90,0.80,134,10949901
104/03/25,141006,77.90,78.30,77.30,78.30,0.40,124,10987061
104/03/26,92637,77.50,78.30,77.50,78.30,,76,7240087
104/03/27,87522,78.20,78.20,77.50,78.10,-0.20,69,6817066
104/03/30,77655,78.00,78.50,78.00,78.40,0.30,60,6073449
104/03/31,46420,78.40,78.50,78.20,78.30,-0.10,44,3638670
104/04/01,65373,78.50,78.60,78.30,78.60,0.30,49,5128891
104/04/02,126682,78.80,79.70,78.80,79.70,1.10,103,10012648
104/04/07,229908,80.00,81.50,79.80,81.40,1.70,200,18579603
104/04/08,147175,82.00,82.00,79.60,81.20,-0.20,135,11887320
