裕融甲特,	9941A
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/11/26,2028874,50.50,51.50,50.50,51.50,X,1861,103358674
107/11/27,842018,51.40,52.00,51.40,52.00,0.50,743,43482717
107/11/28,293971,51.90,51.90,51.50,51.50,0.50,291,15159391
107/11/29,442529,51.50,51.60,51.30,51.30,0.20,334,22750372
107/11/30,217155,51.30,51.30,51.20,51.20,0.10,225,11124929
107/12/03,737882,51.20,51.30,51.00,51.20,,258,37319682
107/12/04,756548,51.10,51.10,51.00,51.00,0.20,240,38350948
107/12/05,224497,51.00,51.10,50.90,51.00,,154,11450285
107/12/06,215052,51.00,51.00,50.90,51.00,,141,10965840
107/12/07,204442,51.00,51.10,51.00,51.00,,92,10426992
107/12/10,417448,51.00,51.00,50.90,50.90,0.10,116,21264454
107/12/11,207555,50.90,51.00,50.90,51.00,0.10,101,10570445
107/12/12,263867,51.00,51.10,51.00,51.00,,90,13458617
107/12/13,129091,50.90,51.10,50.90,51.00,,71,6584341
107/12/14,325998,51.00,51.00,50.90,51.00,,93,16625093
107/12/17,119140,51.10,51.30,51.10,51.20,0.20,77,6095740
107/12/18,42966,51.20,51.20,51.20,51.20,,49,2199466
107/12/19,74573,51.20,51.40,51.20,51.30,0.10,62,3825234
107/12/20,215538,51.30,51.40,51.30,51.40,0.10,77,11059044
107/12/21,99386,51.40,51.50,51.30,51.30,0.10,40,5098958
107/12/22,23744,51.30,51.30,51.30,51.30,,27,1217991
107/12/24,55969,51.30,51.40,51.30,51.40,0.10,40,2871019
107/12/25,76958,51.30,51.30,51.30,51.30,0.10,41,3947753
107/12/26,66523,51.30,51.40,51.30,51.30,,67,3415621
107/12/27,42835,51.40,51.40,51.30,51.40,0.10,45,2201134
107/12/28,50229,51.40,51.40,51.40,51.40,,41,2581646
108/01/02,59326,51.40,51.50,51.30,51.40,,56,3049089
108/01/03,58479,51.40,51.50,51.40,51.40,,52,3007069
108/01/04,67582,51.40,51.50,51.40,51.50,0.10,48,3474697
108/01/07,71660,51.50,51.60,51.40,51.50,,55,3689891
108/01/08,24873,51.50,51.60,51.50,51.60,0.10,27,1281383
108/01/09,82164,51.50,51.60,51.50,51.50,0.10,65,4236096
108/01/10,23497,51.50,51.60,51.50,51.50,,28,1210244
108/01/11,142321,51.60,51.60,51.50,51.60,0.10,76,7340529
108/01/14,56633,51.50,51.60,51.50,51.60,,39,2921035
108/01/15,36098,51.50,51.60,51.50,51.60,,23,1859035
108/01/16,66055,51.60,51.70,51.50,51.70,0.10,50,3407331
108/01/17,7603,51.60,51.70,51.60,51.70,,15,392352
108/01/18,52779,51.60,51.80,51.60,51.70,,43,2730295
108/01/21,47037,51.70,51.80,51.60,51.70,,45,2433092
108/01/22,42867,51.70,51.80,51.70,51.80,0.10,37,2218834
108/01/23,39219,51.80,51.90,51.80,51.90,0.10,37,2033614
108/01/28,29149,51.80,52.00,51.80,52.00,0.10,33,1512828
108/01/29,75151,52.00,52.20,52.00,52.10,0.10,66,3911835
108/01/30,47320,52.20,52.20,52.10,52.10,,46,2467705
108/02/11,49808,52.10,52.30,52.10,52.30,0.20,44,2603594
108/02/12,33655,52.30,52.50,52.30,52.50,0.20,41,1763054
108/02/13,24389,52.50,52.50,52.40,52.50,,26,1280142
108/02/14,30717,52.50,52.50,52.40,52.40,0.10,24,1610725
108/02/15,23077,52.40,52.50,52.40,52.50,0.10,19,1209224
108/02/18,30054,52.50,52.80,52.50,52.70,0.20,35,1583633
108/02/19,33636,52.70,52.70,52.40,52.50,0.20,34,1765024
108/02/20,22462,52.40,52.60,52.40,52.60,0.10,30,1177458
108/02/21,30732,52.40,52.60,52.40,52.60,,33,1611455
108/02/22,28567,52.40,52.60,52.40,52.60,,19,1497509
108/02/25,41597,52.50,52.50,52.40,52.50,0.10,29,2183079
108/02/26,99164,52.50,52.50,52.40,52.50,,32,5205676
108/02/27,34221,52.40,52.50,52.40,52.50,,23,1795556
108/03/04,202812,52.40,52.50,52.40,52.50,,55,10646267
108/03/05,194028,52.50,52.60,52.50,52.50,,58,10186965
108/03/06,108359,52.50,52.50,52.40,52.50,,48,5681572
108/03/07,160204,52.50,52.50,52.40,52.40,0.10,39,8397967
108/03/08,62038,52.50,52.50,52.40,52.50,0.10,22,3251584
108/03/11,40047,52.40,52.60,52.40,52.60,0.10,40,2102866
108/03/12,18716,52.50,52.60,52.50,52.60,,20,982716
108/03/13,24873,52.50,52.70,52.50,52.70,0.10,24,1307932
108/03/14,24747,52.70,52.70,52.60,52.70,,22,1302117
108/03/15,38627,52.60,52.70,52.50,52.70,,40,2030916
108/03/18,16759,52.50,52.70,52.50,52.70,,19,881446
108/03/19,52943,52.70,52.70,52.60,52.70,,35,2787100
108/03/20,96163,52.60,52.70,52.60,52.60,0.10,35,5062639
108/03/21,26750,52.60,52.70,52.60,52.70,0.10,29,1408473
108/03/22,38049,52.60,52.90,52.60,52.90,0.20,33,2004378
108/03/25,201400,52.90,52.90,52.80,52.90,,41,10652820
108/03/26,41346,52.80,53.00,52.80,53.00,0.10,36,2186966
108/03/27,76145,53.00,53.10,52.90,53.10,0.10,50,4035867
108/03/28,28349,52.90,53.10,52.90,53.00,0.10,20,1502722
108/03/29,77757,53.00,53.20,52.90,53.10,0.10,47,4124842
108/04/01,34864,53.10,53.20,53.10,53.20,0.10,28,1851692
108/04/02,42811,53.10,53.40,53.10,53.30,0.10,51,2278551
108/04/03,25834,53.00,53.40,53.00,53.30,,28,1375267
108/04/08,74769,53.30,53.50,53.20,53.50,0.20,47,3987882
108/04/09,28257,53.50,53.60,53.50,53.60,0.10,28,1513646
108/04/10,21674,53.50,53.60,53.50,53.60,,20,1160156
108/04/11,55867,53.50,53.50,53.40,53.50,0.10,23,2988684
108/04/12,35453,53.40,53.50,53.40,53.50,,28,1894886
108/04/15,47477,53.50,53.50,53.30,53.40,0.10,17,2532473
108/04/16,33581,53.50,53.60,53.30,53.60,0.20,34,1793864
108/04/17,25807,53.60,53.70,53.50,53.70,0.10,22,1382173
108/04/18,13747,53.60,53.70,53.60,53.60,0.10,14,736889
108/04/19,22747,53.60,53.70,53.60,53.70,0.10,21,1220964
